customer_id,product_id,order_date,quantity,last_refill_date
C033,P101,2023-06-10 04:54:39,8,2023-06-10 04:54:39
C005,P101,2023-02-01 12:11:58,6,2023-02-01 12:11:58
C003,P102,2024-07-25 07:53:42,10,2024-07-25 07:53:42
C017,P101,2024-10-31 11:12:26,32,2024-10-31 11:12:26
C050,P101,2023-03-12 19:53:50,40,2023-03-12 19:53:50
C016,P102,2024-10-08 02:00:32,12,2024-10-08 02:00:32
C047,P101,2024-11-09 08:58:45,15,2024-11-09 08:58:45
C004,P101,2023-06-16 05:51:49,34,2023-06-16 05:51:49
C030,P102,2023-08-22 11:48:49,34,2023-08-22 11:48:49
C023,P101,2024-01-24 06:12:58,48,2024-01-24 06:12:58
C050,P102,2023-10-01 14:11:21,34,2023-10-01 14:11:21
C013,P102,2024-04-02 14:03:52,22,2024-04-02 14:03:52
C025,P101,2023-12-13 23:45:11,44,2023-12-13 23:45:11
C029,P102,2023-05-19 06:27:12,37,2023-05-19 06:27:12
C006,P101,2024-08-07 21:52:20,23,2024-08-07 21:52:20
C041,P102,2023-07-28 14:57:17,21,2023-07-28 14:57:17
C007,P101,2023-03-02 16:50:27,35,2023-03-02 16:50:27
C013,P101,2023-08-01 03:38:58,43,2023-08-01 03:38:58
C034,P102,2024-11-09 04:06:07,9,2024-11-09 04:06:07
C037,P102,2024-10-08 18:38:42,23,2024-10-08 18:38:42
C028,P101,2024-03-10 04:43:07,42,2024-03-10 04:43:07
C012,P102,2023-06-23 20:34:04,39,2023-06-23 20:34:04
C028,P102,2024-03-13 20:25:02,5,2024-03-13 20:25:02
C033,P101,2024-06-08 14:19:59,45,2024-06-08 14:19:59
C035,P102,2024-04-11 11:10:12,18,2024-04-11 11:10:12
C019,P101,2024-06-13 11:44:55,8,2024-06-13 11:44:55
C021,P101,2023-01-23 17:52:04,26,2023-01-23 17:52:04
C048,P102,2024-01-29 07:52:34,7,2024-01-29 07:52:34
C001,P101,2023-10-04 06:55:13,40,2023-10-04 06:55:13
C029,P102,2024-02-27 17:54:01,14,2024-02-27 17:54:01
C008,P101,2023-11-28 20:27:56,9,2023-11-28 20:27:56
C037,P101,2023-12-31 07:20:14,45,2023-12-31 07:20:14
C021,P102,2023-04-15 15:01:17,18,2023-04-15 15:01:17
C023,P101,2024-10-20 19:43:28,41,2024-10-20 19:43:28
C029,P102,2024-09-23 03:05:44,25,2024-09-23 03:05:44
C032,P101,2023-07-27 12:03:29,44,2023-07-27 12:03:29
C033,P101,2024-10-23 18:37:42,27,2024-10-23 18:37:42
C047,P101,2024-07-02 06:51:07,35,2024-07-02 06:51:07
C017,P102,2024-01-09 15:29:48,42,2024-01-09 15:29:48
C012,P101,2024-08-18 20:34:09,38,2024-08-18 20:34:09
C037,P102,2023-01-30 16:55:31,8,2023-01-30 16:55:31
C017,P101,2024-06-19 13:32:22,48,2024-06-19 13:32:22
C047,P101,2023-04-25 14:05:03,31,2023-04-25 14:05:03
C040,P102,2023-09-05 22:00:45,45,2023-09-05 22:00:45
C028,P102,2024-03-19 18:24:51,49,2024-03-19 18:24:51
C024,P101,2024-08-12 20:47:39,39,2024-08-12 20:47:39
C027,P102,2023-12-03 03:39:51,34,2023-12-03 03:39:51
C019,P101,2023-05-23 20:34:47,34,2023-05-23 20:34:47
C024,P102,2024-07-08 18:14:21,23,2024-07-08 18:14:21
C005,P101,2023-01-31 23:49:17,19,2023-01-31 23:49:17
C029,P101,2023-01-05 02:43:51,34,2023-01-05 02:43:51
C001,P102,2023-05-19 04:07:30,43,2023-05-19 04:07:30
C022,P102,2023-07-27 03:47:04,14,2023-07-27 03:47:04
C025,P101,2024-09-02 19:48:18,34,2024-09-02 19:48:18
C012,P101,2024-07-25 14:43:29,32,2024-07-25 14:43:29
C012,P102,2024-12-29 22:29:51,49,2024-12-29 22:29:51
C025,P101,2024-09-10 09:39:16,38,2024-09-10 09:39:16
C039,P102,2024-03-11 10:15:07,30,2024-03-11 10:15:07
C023,P101,2024-02-06 07:39:08,15,2024-02-06 07:39:08
C031,P101,2023-09-06 09:20:58,25,2023-09-06 09:20:58
C029,P102,2024-05-23 12:49:08,38,2024-05-23 12:49:08
C012,P101,2023-12-17 12:26:46,36,2023-12-17 12:26:46
C015,P102,2024-01-19 11:19:52,16,2024-01-19 11:19:52
C013,P101,2024-06-24 15:43:04,39,2024-06-24 15:43:04
C047,P101,2024-01-01 22:05:26,43,2024-01-01 22:05:26
C006,P102,2024-09-04 16:39:35,29,2024-09-04 16:39:35
C033,P101,2023-03-26 04:45:27,6,2023-03-26 04:45:27
C011,P101,2024-05-23 02:46:24,40,2024-05-23 02:46:24
C036,P102,2024-10-22 21:09:37,31,2024-10-22 21:09:37
C019,P101,2023-08-03 01:28:35,13,2023-08-03 01:28:35
C009,P102,2024-03-26 10:39:57,11,2024-03-26 10:39:57
C019,P102,2023-06-17 09:28:43,30,2023-06-17 09:28:43
C047,P102,2023-09-05 18:41:17,32,2023-09-05 18:41:17
C029,P102,2023-11-12 01:37:17,10,2023-11-12 01:37:17
C014,P101,2024-11-29 03:04:21,36,2024-11-29 03:04:21
C035,P102,2024-05-05 11:52:06,24,2024-05-05 11:52:06
C040,P101,2024-11-26 21:46:53,8,2024-11-26 21:46:53
C046,P101,2024-10-17 16:11:06,28,2024-10-17 16:11:06
C012,P102,2023-10-12 13:35:43,27,2023-10-12 13:35:43
C042,P102,2023-09-13 03:08:00,22,2023-09-13 03:08:00
C042,P101,2023-09-20 17:05:14,5,2023-09-20 17:05:14
C031,P101,2023-05-04 14:13:24,44,2023-05-04 14:13:24
C036,P101,2024-11-26 15:23:55,32,2024-11-26 15:23:55
C016,P102,2024-11-26 22:24:04,43,2024-11-26 22:24:04
C014,P101,2023-10-28 23:47:56,19,2023-10-28 23:47:56
