lead_id,vertical,territory,lead_source,product_stage,target_price,proposed_price,price_discount_pct,expected_order_volume,expected_frequency,hod_approval,emails_sent,emails_opened,calls_made,meetings_held,avg_response_time_hours,last_contact_age_days,complaint_logged,buying_trend_percent,previous_orders,inactive_flag,overdue_payments,license_expiry_days_left,training_completed,deal_age_days,class
LD-1001,Retina,California,Website,Commercial,30,28,6.7,1500,Monthly,1,10,8,6,2,12,3,0,20,3,0,0,365,1,45,1
LD-1002,Clinic,Texas,Vendor List,Uninterested / Loss,35,34,2.9,500,Every 2 months,0,6,1,4,0,60,40,0,-20,0,1,0,180,0,30,0
LD-1003,Hospital,New York,IQVIA,Proposal Sent,40,37,7.5,4000,Every 90 days,1,12,9,8,2,18,10,0,10,1,0,0,365,1,20,0
LD-1004,Pharmacy,Florida,Website,Interested,25,24,4,1000,Monthly,0,4,2,3,0,36,7,0,0,0,0,0,90,0,12,0
LD-1005,Retina,Illinois,Vendor List,Commercial,42,40,4.8,2500,Fortnightly,1,8,7,10,3,10,5,0,30,6,0,0,365,1,60,1
LD-1006,Hospital,California,GPO Roster,Lead,40,40,0,3000,Every 6 months,0,1,0,1,0,72,25,0,0,0,0,0,365,0,5,0
LD-1007,Pharmacy,Texas,Manual,Informed,30,29,3.3,800,Every 60 days,0,5,3,4,0,30,15,1,-10,0,0,0,60,0,18,0
LD-1008,Clinic,Florida,Website,Proposal Sent,32,30,6.3,2000,Monthly,1,9,8,7,2,14,4,0,20,4,0,1,120,1,35,1
LD-1009,Hospital,Illinois,IQVIA,Commercial,45,43,4.4,5000,Every 2 months,1,7,5,6,1,20,12,0,-20,10,0,1,365,1,90,1
LD-1010,Retina,Texas,Vendor List,Interested,35,34,2.9,1500,Every 2 months,0,3,1,5,0,48,45,0,0,0,1,0,180,0,50,0
LD-1011,Pharmacy,New York,Website,Uninterested / Loss,25,25,0,600,Monthly,0,6,2,6,1,40,20,1,-40,1,0,0,30,1,40,0
LD-1012,Hospital,Florida,GPO Roster,Proposal Sent,38,36,5.3,3500,Every 90 days,1,14,12,9,3,16,2,0,10,2,0,0,365,1,25,0
LD-1013,Clinic,New York,Manual,Commercial,28,27,3.6,700,Every 60 days,1,4,3,5,1,22,6,0,5,2,0,0,365,1,55,1
LD-1014,Retina,California,IQVIA,Uninterested / Loss,40,39,2.5,1000,Every 6 months,0,2,0,3,0,70,28,0,0,0,0,0,365,0,15,0
LD-1015,Clinic,Texas,Website,Interested,30,29,3.3,1200,Monthly,0,9,8,7,2,8,1,0,15,1,0,0,365,1,18,1
